name;url;type
Meeting_1_R_Ladies_Boulder_Kickoff_Meeting;https://github.com/rladies/meetup-presentations_boulder/tree/master/Meeting_1_R_Ladies_Boulder_Kickoff_Meeting;dir
Meeting_4_Introduction_to_Building_R_Packages;https://github.com/rladies/meetup-presentations_boulder/tree/master/Meeting_4_Introduction_to_Building_R_Packages;dir
Meeting_6_Introduction_to_Shiny;https://github.com/rladies/meetup-presentations_boulder/tree/master/Meeting_6_Introduction_to_Shiny;dir
README.md;https://github.com/rladies/meetup-presentations_boulder/blob/master/README.md;file
2019;https://github.com/rladies/meetup-presentations_brisbane/tree/master/2019;dir
README.md;https://github.com/rladies/meetup-presentations_brisbane/blob/master/README.md;file
.gitignore;https://github.com/rladies/meetup-presentations_brussels/blob/master/.gitignore;file
01_Building_Shiny_apps_Dec17;https://github.com/rladies/meetup-presentations_brussels/tree/master/01_Building_Shiny_apps_Dec17;dir
02_DataScience_IntroTalks_Jan18;https://github.com/rladies/meetup-presentations_brussels/tree/master/02_DataScience_IntroTalks_Jan18;dir
03-GGplot2_Workshop_Mar18;https://github.com/rladies/meetup-presentations_brussels/tree/master/03-GGplot2_Workshop_Mar18;dir
04_Introd_Roxygen2_Lavaan_Apr18;https://github.com/rladies/meetup-presentations_brussels/tree/master/04_Introd_Roxygen2_Lavaan_Apr18;dir
05_rbeginners_Workshop_Jun18;https://github.com/rladies/meetup-presentations_brussels/tree/master/05_rbeginners_Workshop_Jun18;dir
06_API_Webscraping_Workshop_Sep18;https://github.com/rladies/meetup-presentations_brussels/tree/master/06_API_Webscraping_Workshop_Sep18;dir
07_Rbeginners2_Workshop_Oct18;https://github.com/rladies/meetup-presentations_brussels/tree/master/07_Rbeginners2_Workshop_Oct18;dir
README.md;https://github.com/rladies/meetup-presentations_brussels/blob/master/README.md;file
R_tutorials;https://github.com/rladies/meetup-presentations_brussels/tree/master/R_tutorials;dir
MCB_2019-11-02;https://github.com/rladies/meetup-presentations_bucharest/tree/master/MCB_2019-11-02;dir
Meetup_01_2019-09-17;https://github.com/rladies/meetup-presentations_bucharest/tree/master/Meetup_01_2019-09-17;dir
Meetup_02_2019-10-22;https://github.com/rladies/meetup-presentations_bucharest/tree/master/Meetup_02_2019-10-22;dir
Meetup_03_2019-11-26;https://github.com/rladies/meetup-presentations_bucharest/tree/master/Meetup_03_2019-11-26;dir
Meetup_04_2019-12-17;https://github.com/rladies/meetup-presentations_bucharest/tree/master/Meetup_04_2019-12-17;dir
Meetup_06_2020-02-11;https://github.com/rladies/meetup-presentations_bucharest/tree/master/Meetup_06_2020-02-11;dir
Meetup_07_2020-03-10;https://github.com/rladies/meetup-presentations_bucharest/tree/master/Meetup_07_2020-03-10;dir
README.html;https://github.com/rladies/meetup-presentations_bucharest/blob/master/README.html;file
README.md;https://github.com/rladies/meetup-presentations_bucharest/blob/master/README.md;file
Meetup_2017_02_16;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2017_02_16;dir
Meetup_2017_03_23;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2017_03_23;dir
Meetup_2017_04_19;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2017_04_19;dir
Meetup_2017_05_17;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2017_05_17;dir
Meetup_2017_06_21;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2017_06_21;dir
Meetup_2017_09_21;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2017_09_21;dir
Meetup_2017_10_30;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2017_10_30;dir
Meetup_2017_11_21;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2017_11_21;dir
Meetup_2017_12_12;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2017_12_12;dir
Meetup_2018_01_31;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2018_01_31;dir
Meetup_2018_02_26;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2018_02_26;dir
Meetup_2018_03_09;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2018_03_09;dir
Meetup_2018_05_16;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2018_05_16;dir
Meetup_2018_06_26;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2018_06_26;dir
Meetup_2019_01_21;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2019_01_21;dir
Meetup_2019_02_18;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2019_02_18;dir
Meetup_2019_03_28;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2019_03_28;dir
Meetup_2019_04_29;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2019_04_29;dir
Meetup_2019_05_30;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2019_05_30;dir
Meetup_2019_10_29;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2019_10_29;dir
Meetup_2019_12_03;https://github.com/rladies/meetup-presentations_budapest/tree/master/Meetup_2019_12_03;dir
README.md;https://github.com/rladies/meetup-presentations_budapest/blob/master/README.md;file
.gitignore;https://github.com/rladies/meetup-presentations_buenosaires/blob/master/.gitignore;file
2017-03-28-Primer-evento-de-R-Ladies-Buenos-Aires;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-03-28-Primer-evento-de-R-Ladies-Buenos-Aires;dir
2017-05-27-Segundo-evento-Taller-Ciencia-de-Datos;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-05-27-Segundo-evento-Taller-Ciencia-de-Datos;dir
2017-07-01-Tercer-evento-Aplicaciones-en-R;https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-07-01-Tercer-evento-Aplicaciones-en-R;dir
